model,oos_r2,rmse,mae,ic,ic_ir,xs_oos_r2,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,feature_set,scheme,horizon,train_start,train_end,test_start,test_end,n_train,n_test
OLS,0.0059789398689248,0.0444282350344518,0.0312640707563292,0.0786846835155498,0.5314630484584313,0.0061939987993548,0.5582458972289481,0.56047197640118,0.2204176334106728,0.3164029975020816,0.56047197640118,678,3.841469049345598,-0.1263899130875792,127.08263358566114,0.746031746031746,1.445348101372323,112,22708.263358566113,63,9,repr_svi,expanding,5,2016-01-04,2020-04-03,2020-04-06,2020-07-06,62894,3717
OLS,0.0044592293481786,0.0384147675843998,0.0259626443246233,0.0166590351568661,1.072614076261763,0.0046420690283961,0.516545601291364,0.4947245017584994,0.2360178970917226,0.3195759182127982,0.4947245017584994,853,1.4188059939213271,-0.168902365395511,31.271601602702837,0.5714285714285714,1.3478471822336149,213,13127.160160270285,63,10,repr_svi,expanding,5,2016-01-04,2020-07-06,2020-07-07,2020-10-02,66611,3717
OLS,-0.0014763874098091,0.0370214193869084,0.0264795639763472,-0.0235754302905337,0.5052868718285141,-0.0011886547480528,0.5152004304546678,0.4582857142857143,0.231925968768074,0.3079877112135176,0.4582857142857143,875,0.6285016489119288,-0.136802886520048,6.562335768289929,0.5555555555555556,0.9956258295409134,216,10656.233576828992,63,11,repr_svi,expanding,5,2016-01-04,2020-10-02,2020-10-05,2021-01-04,70328,3717
OLS,-0.0050255859865195,0.0364540776631191,0.0272306294823405,-0.1087242023718839,-0.0137419331272857,-0.0049487750700121,0.4912563895614743,0.4565217391304347,0.2562396006655574,0.3282415630550622,0.4565217391304347,1012,-1.329110731778634,-0.2882170335222543,-17.397790013675206,0.4444444444444444,0.7798379738291374,301,8260.22099863248,63,12,repr_svi,expanding,5,2016-01-04,2021-01-04,2021-01-05,2021-04-06,74045,3717
OLS,-0.0064829637568324,0.0279135610937521,0.0204997614204093,-0.0830282458266015,0.0769555153247517,-0.0064163208384324,0.4753086419753086,0.4683368128044537,0.3610515021459227,0.4077552256891851,0.4683368128044537,1437,-0.7505830240409164,-0.1356416581094854,-5.7603556701282805,0.3968253968253968,1.160798916506794,277,9423.964432987172,63,13,repr_svi,expanding,5,2016-01-04,2021-04-06,2021-04-07,2021-07-13,77762,3726
OLS,0.0018403290344526,0.027425022554571,0.0196944549337726,0.0309177833987436,0.3080451757819982,0.0020292181235861,0.5113756613756614,0.4848484848484848,0.4360400444938821,0.4591508052708638,0.4848484848484848,1617,1.1266912077521023,-0.0851290882322688,8.379855717687557,0.4603174603174603,1.8264492651164932,386,10837.985571768755,63,14,repr_svi,expanding,5,2016-01-04,2021-07-13,2021-07-14,2021-10-11,81483,3780
OLS,-0.0088758033674003,0.0367048912224362,0.0258976139596849,-0.0544809448435067,0.2360891556414228,-0.0088129705728312,0.4772486772486772,0.4601626016260162,0.3013844515441959,0.3642213642213642,0.4601626016260162,1230,-1.6677849615055502,-0.2389991030973952,-16.443527281109247,0.4126984126984127,0.7251272304219628,318,8355.647271889075,63,15,repr_svi,expanding,5,2016-01-04,2021-10-11,2021-10-12,2022-01-10,85263,3780
OLS,-0.0129957632220207,0.0411220212051971,0.0302573740843648,-0.1149768192488797,0.170375304913755,-0.0128986168906861,0.4600536193029491,0.4432773109243697,0.341792656587473,0.3859756097560975,0.4432773109243697,1428,-2.2948260078707703,-0.2587351265273477,-26.041341413112317,0.3809523809523809,0.6834909917281562,330,7395.865858688769,63,16,repr_svi,expanding,5,2016-01-04,2022-01-10,2022-01-11,2022-04-11,89043,3730
OLS,-0.0074702242304942,0.0407599483833649,0.0290471889263725,-0.0132652143084543,0.5201997117838453,-0.0073692629679247,0.4887700534759358,0.5049056603773585,0.3475324675324675,0.4116923076923077,0.5049056603773585,1325,-1.1333152620746696,-0.3346040387169713,-22.034107016360572,0.4444444444444444,0.7982395518372761,377,7796.589298363943,63,17,repr_svi,expanding,5,2016-01-04,2022-04-11,2022-04-12,2022-07-13,92778,3740
OLS,-0.0046623678059452,0.0348852205873703,0.0249148599069026,-0.0071417099699532,0.533007211678793,-0.0045591976543135,0.4941798941798941,0.4992163009404389,0.3335078534031414,0.3998744507219083,0.4992163009404389,1276,-1.24360761607265,-0.3127865509182152,-14.78597315092749,0.3333333333333333,1.260162397393532,350,8521.40268490725,63,18,repr_svi,expanding,5,2016-01-04,2022-07-13,2022-07-14,2022-10-11,96513,3780
