n_periods,mean_return,annualized_return,annualized_vol,sharpe,max_drawdown,total_return,win_rate,strategy,top_n,bottom_n,effective_spread_fraction,short_fee_bps_annual,horizon,rebalance_every,avg_turnover,avg_spread_cost,avg_short_fee_cost,model,feature_set,scheme,cost_scheme,hurdle_bps
2016,0.0005115453042328,0.1375495785177416,0.2824217485328218,0.4870360701054728,-0.4515162705435934,1.0343401083620454,0.5267857142857143,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.8921957671957671,0.0001115244708994,1.984126984126983e-05,OLS,candidate_6,rolling_9m_3m,25pct_spread,
2016,0.0012800299656673,0.3803833898086193,0.2562765561901197,1.4842691639980932,-0.3862303890566695,9.133491787658803,0.5649801587301587,long_flat_hurdle,,,0.25,,1,1,0.5300205984180232,6.625257480225289e-05,,OLS,candidate_6,rolling_9m_3m,25pct_spread,10.0
1701,0.0006483772290809,0.1774347308445321,0.3102569622771415,0.5718960488178697,-0.5802219102778052,1.176536711683982,0.5202821869488536,long_short_decile,6.0,6.0,0.15,50.0,1,1,1.1022927689594355,8.26719576719577e-05,1.984126984126984e-05,ElasticNet,candidate_6,expanding,15pct_spread,
1701,0.0018359415682606,0.5876153148920913,0.4587678823598171,1.2808553900275383,-0.6194567558333444,10.156767155079612,0.5302763080540859,long_flat_hurdle,,,0.15,,1,1,0.2932584654601938,2.1994384909514533e-05,,ElasticNet,candidate_6,expanding,15pct_spread,10.0
1701,0.0005932625906329,0.1612045172855472,0.3102363982606775,0.5196183239275952,-0.5838414413454547,0.9818884631977024,0.5179306290417401,long_short_decile,6.0,6.0,0.25,50.0,1,1,1.1022927689594355,0.0001377865961199,1.984126984126984e-05,ElasticNet,candidate_6,expanding,25pct_spread,
1701,0.0018212786449876,0.5817704794039589,0.4587600732234893,1.268136687040208,-0.6194749987226312,9.8824409170294,0.5302763080540859,long_flat_hurdle,,,0.25,,1,1,0.2932584654601938,3.6657308182524224e-05,,ElasticNet,candidate_6,expanding,25pct_spread,10.0
2016,0.0006999861111111,0.1928373433078885,0.2117124667523344,0.9108454795601316,-0.2857811501222992,2.425671734059914,0.5471230158730159,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.4444444444444443,3.3333333333333335e-05,1.984126984126983e-05,ElasticNet,candidate_6,rolling_9m_3m,15pct_spread,
2016,0.0010591555255704,0.305734795573592,0.249656433932131,1.2246221367429524,-0.3373542347387482,5.587899257439516,0.2058531746031746,long_flat_hurdle,,,0.15,,1,1,0.1546919908910823,1.1601899316831177e-05,,ElasticNet,candidate_6,rolling_9m_3m,15pct_spread,10.0
2016,0.0006777638888888,0.1861806957802443,0.2117210479785078,0.879367911494297,-0.2869904368656264,2.275603399740463,0.5461309523809523,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.4444444444444443,5.555555555555556e-05,1.984126984126983e-05,ElasticNet,candidate_6,rolling_9m_3m,25pct_spread,
2016,0.0010514209260258,0.3031949193287093,0.2496470416477962,1.2144943410002784,-0.3373542347387483,5.486174822913752,0.2053571428571428,long_flat_hurdle,,,0.25,,1,1,0.1546919908910823,1.93364988613853e-05,,ElasticNet,candidate_6,rolling_9m_3m,25pct_spread,10.0
1701,0.0002971262002743,0.0777383024297486,0.2481069489454525,0.3133257764853647,-0.4349933618605286,0.3465572376294132,0.5067607289829512,long_short_decile,6.0,6.0,0.15,50.0,1,1,2.2057613168724277,0.0001654320987654,1.984126984126984e-05,XGBoost,candidate_6,expanding,15pct_spread,
1701,0.0003511613228605,0.0925092550559043,0.3372368233969992,0.2743154028200573,-0.5218399082513683,0.2381331804613664,0.104644326866549,long_flat_hurdle,,,0.15,,1,1,0.2496654127758688,1.8724905958190156e-05,,XGBoost,candidate_6,expanding,15pct_spread,10.0
1701,0.0001868381344307,0.0482046168792544,0.2481116536640574,0.1942859844242681,-0.4522296062499111,0.1162139527515642,0.5014697236919459,long_short_decile,6.0,6.0,0.25,50.0,1,1,2.2057613168724277,0.000275720164609,1.984126984126984e-05,XGBoost,candidate_6,expanding,25pct_spread,
1701,0.0003386780522217,0.0890790380402644,0.3372526738691074,0.2641314508149378,-0.5268831429792645,0.2120375849184237,0.104644326866549,long_flat_hurdle,,,0.25,,1,1,0.2496654127758688,3.1208176596983595e-05,,XGBoost,candidate_6,expanding,25pct_spread,10.0
2016,7.391187169312245e-05,0.0187996324616832,0.2303384824065776,0.0816174191358066,-0.3945871946641562,-0.0614761543775619,0.4910714285714285,long_short_decile,6.0,6.0,0.15,50.0,1,1,2.368882275132275,0.0001776661706349,1.984126984126983e-05,XGBoost,candidate_6,rolling_9m_3m,15pct_spread,
2016,0.0006476602984987,0.1772221647739809,0.3375983408769117,0.5249497503857581,-0.5196007336399057,1.3650628632810364,0.1939484126984127,long_flat_hurdle,,,0.15,,1,1,0.4185285496693497,3.1389641225201226e-05,,XGBoost,candidate_6,rolling_9m_3m,15pct_spread,10.0
2016,-4.45322420634913e-05,-0.0111596389330422,0.2303491864928775,-0.0484466175155662,-0.4446875742291662,-0.2608802419153362,0.4875992063492063,long_short_decile,6.0,6.0,0.25,50.0,1,1,2.368882275132275,0.0002961102843915,1.984126984126983e-05,XGBoost,candidate_6,rolling_9m_3m,25pct_spread,
