model,feature_set,scheme,horizon,window,ic,n_test
OLS,B,rolling_9m_3m,1,7,0.08674542108180204,3717
OLS,B,rolling_9m_3m,1,8,0.13917066864688862,3717
OLS,B,rolling_9m_3m,1,9,0.07461263293055725,3717
OLS,B,rolling_9m_3m,1,10,0.09861204858849094,3717
OLS,B,rolling_9m_3m,1,11,0.11378598548343818,3717
OLS,B,rolling_9m_3m,1,12,0.07524594977989746,3717
OLS,B,rolling_9m_3m,1,13,0.005951002941347161,3717
OLS,B,rolling_9m_3m,1,14,0.1153640479682614,3717
OLS,B,rolling_9m_3m,1,15,0.018667341440408044,3717
OLS,B,rolling_9m_3m,1,16,-0.014923310945605108,3717
OLS,B,rolling_9m_3m,1,17,0.0038099245926604282,3717
OLS,B,rolling_9m_3m,1,18,0.04113956775357216,3726
OLS,B,rolling_9m_3m,1,19,0.03954792942888742,3780
OLS,B,rolling_9m_3m,1,20,0.018157178307926358,3780
OLS,B,rolling_9m_3m,1,21,0.10690369778202935,3730
OLS,B,rolling_9m_3m,1,22,0.18871200505271019,3740
OLS,B,rolling_9m_3m,1,23,0.09322291981348338,3780
OLS,B,rolling_9m_3m,1,24,-0.19295311049737307,3780
OLS,B,rolling_9m_3m,1,25,-0.0026895033398633677,3780
OLS,B,rolling_9m_3m,1,26,-0.004831578113709885,3780
OLS,B,rolling_9m_3m,1,27,0.01277017524116566,3780
OLS,B,rolling_9m_3m,1,28,0.0006787497761895606,3780
OLS,B,rolling_9m_3m,1,29,-0.03560839967691724,3780
OLS,B,rolling_9m_3m,1,30,-3.554676415093166e-05,3780
OLS,B,rolling_9m_3m,1,31,0.008730749010056485,3780
ElasticNet,B,expanding,1,0,0.215967964895282,3717
ElasticNet,B,expanding,1,1,0.2612048980022233,3717
ElasticNet,B,expanding,1,2,0.2553067510142482,3717
ElasticNet,B,expanding,1,3,0.3100775914825424,3717
ElasticNet,B,expanding,1,4,0.26619624072395637,3717
ElasticNet,B,expanding,1,5,0.2785760927107364,3717
ElasticNet,B,expanding,1,6,0.26225885094589524,3717
ElasticNet,B,expanding,1,7,0.26088636399163284,3717
ElasticNet,B,expanding,1,8,0.1285424175872925,3717
ElasticNet,B,expanding,1,9,0.2770439426828078,3717
ElasticNet,B,expanding,1,10,0.32448196783863453,3717
ElasticNet,B,expanding,1,11,0.25591481422527035,3717
ElasticNet,B,expanding,1,12,0.26432393823590206,3717
ElasticNet,B,expanding,1,13,0.2674413651468896,3726
ElasticNet,B,expanding,1,14,0.27170198044052735,3780
ElasticNet,B,expanding,1,15,0.24599644348493083,3780
