pooled_r2,pooled_rmse,pooled_accuracy,pooled_ic,model,feature_set,scheme,horizon,n_windows
-0.0035583930407458,0.0340512810086688,0.4967079427148611,-0.0031726749341277,FFNN,B,rolling_9m_3m,5,32
-0.0007569504735447,0.0350351003264747,0.4957021474425552,-0.0114955243167861,FFNN,C,expanding,5,27
-0.0102330736737994,0.0341643311141908,0.4989889874834979,0.0024359534751581,FFNN,C,rolling_9m_3m,5,32
-0.000165221191654,0.0350247409878948,0.4989168818065818,0.0013288105510308,FFNN,candidate_6,expanding,5,27
-0.0031539262654938,0.0340444184285235,0.5050550625825103,0.0080395660647638,FFNN,candidate_6,rolling_9m_3m,5,32
-0.0012133278971639,0.0350430879833829,0.49889709882588,-0.0068907243333381,FFNN,D,expanding,5,27
-0.0074581286081405,0.0341173769325492,0.5072358416470313,0.013232197214535,FFNN,D,rolling_9m_3m,5,32
-0.018742991181009305,0.01561704122310192,0.4988184124682856,-0.0015098383324741013,TFT,A,expanding,1,27
-2.074513216873348,0.02624172493770637,0.5000734753857458,-0.0038023008827269074,TFT,A,rolling_9m_3m,1,32
-0.003450688834087945,0.01549938468976646,0.500137731061979,0.00010064146884470858,TFT,B,expanding,1,27
-0.6002588122195156,0.01893212270042562,0.5033921136419299,0.0044917253850015266,TFT,B,rolling_9m_3m,1,32
-0.07240654019549142,0.016023086111840164,0.49887640449438203,-0.006664688031555023,TFT,C,expanding,1,27
-0.9336717487568025,0.0208111257233123,0.49960813127602255,-0.004935324652658968,TFT,C,rolling_9m_3m,1,32
