model,feature_set,scheme,horizon,n_windows,pooled_ic,pooled_r2
ElasticNet,C,expanding,3,27,0.49207457883553185,0.296651680463766
ElasticNet,C,rolling_9m_3m,3,32,0.4242525721074686,0.2266206188241796
XGBoost,C,expanding,3,27,0.4618701365142893,0.26563599911649727
XGBoost,C,rolling_9m_3m,3,32,0.4264651892688805,0.257104787431537
OLS,candidate_6,expanding,3,27,0.3497499667577585,0.12080513519235336
OLS,candidate_6,rolling_9m_3m,3,32,0.33919584843684636,0.12726630130404692
ElasticNet,candidate_6,expanding,3,27,0.3502375145372747,0.12260103106729614
ElasticNet,candidate_6,rolling_9m_3m,3,32,0.33953427971359046,0.1310881974789435
XGBoost,candidate_6,expanding,3,27,0.3687068339322949,0.1414842602749582
XGBoost,candidate_6,rolling_9m_3m,3,32,0.3309265725385629,0.1590627959396944
OLS,D,expanding,3,27,0.22213528943389202,0.07497391908351592
OLS,D,rolling_9m_3m,3,32,0.27854193519920695,0.10501515518955862
ElasticNet,D,expanding,3,27,0.48939726836722686,0.2921043981221204
ElasticNet,D,rolling_9m_3m,3,32,0.43374144606317405,0.22695076798297786
XGBoost,D,expanding,3,27,0.4562770491505856,0.2517998607736621
XGBoost,D,rolling_9m_3m,3,32,0.4306171358178475,0.250875602120455
OLS,repr_svi,expanding,3,27,0.22224576845244023,0.07495122084899875
OLS,repr_svi,rolling_9m_3m,3,32,0.20987687442226238,0.06280597539711141
ElasticNet,repr_svi,expanding,3,27,0.47478335342823347,0.2776757137510737
ElasticNet,repr_svi,rolling_9m_3m,3,32,0.3978086351770139,0.1877329259721947
XGBoost,repr_svi,expanding,3,27,0.4386804569174848,0.23120918724286377
XGBoost,repr_svi,rolling_9m_3m,3,32,0.4089766626890793,0.24135643829863285
OLS,repr_grid,expanding,3,27,0.2221400063137985,0.07497096882994203
OLS,repr_grid,rolling_9m_3m,3,32,0.278490649057889,0.10503618275135873
ElasticNet,repr_grid,expanding,3,27,0.4785872957820011,0.28056626206293245
