feature_set,scheme,horizon,N,n_draws,se_mean,se_median,se_p05,se_p95,se_pred_sqrtN,ic_mean,ic_sd_across_draws,se_full_ref,n_full,mean_ic_full,t_full,recon_max_abs_err
repr_grid,rolling_9m_3m,1,30,40,0.004026026710025344,0.004021865414061131,0.0032556901195756965,0.004712319685941603,0.0031554608489500263,0.004012382724510846,0.002871177375739978,0.0022312477640612236,60,0.0028757735339404416,1.2888633796123472,
repr_grid,rolling_9m_3m,1,40,40,0.003248153381352624,0.0032744527591605814,0.0023992144520983538,0.004056658808811918,0.0027327092558379336,0.003050542172126506,0.0023825574746577168,0.0022312477640612236,60,0.0028757735339404416,1.2888633796123472,
repr_grid,rolling_9m_3m,1,50,40,0.0026609508069311456,0.0026228851740312162,0.0021032957391625353,0.0031831115284901563,0.0024442094635185934,0.002788471237698406,0.0019501690736896963,0.0022312477640612236,60,0.0028757735339404416,1.2888633796123472,
repr_grid,rolling_9m_3m,1,60,1,0.0022312477640612236,0.0022312477640612236,0.0022312477640612236,0.0022312477640612236,0.0022312477640612236,0.0028757735339404416,,0.0022312477640612236,60,0.0028757735339404416,1.2888633796123472,
repr_grid,rolling_9m_3m,3,20,40,0.009430776968358532,0.009644062198692082,0.006593855713811089,0.011992001791354139,0.010172590413051776,0.011018770520710626,0.007980614288543606,0.005873147813331249,60,0.011479806478970355,1.95462584015215,
repr_grid,rolling_9m_3m,3,30,40,0.00753216732158702,0.007769873421478831,0.00546041847337628,0.009134141350660234,0.00830588529143494,0.013531555689388935,0.0041111388937516286,0.005873147813331249,60,0.011479806478970355,1.95462584015215,
repr_grid,rolling_9m_3m,3,40,40,0.006928561672395831,0.006955451358772735,0.005985211648533089,0.008038457689731398,0.0071931076633021725,0.012339609891959454,0.003603496149785051,0.005873147813331249,60,0.011479806478970355,1.95462584015215,
repr_grid,rolling_9m_3m,3,50,40,0.0064212382613279525,0.006489507295909816,0.005498913219025358,0.007153005765273724,0.006433711081847331,0.011158089678068453,0.002364154820377942,0.005873147813331249,60,0.011479806478970355,1.95462584015215,
repr_grid,rolling_9m_3m,3,60,1,0.005873147813331249,0.005873147813331249,0.005873147813331249,0.005873147813331249,0.005873147813331249,0.011479806478970355,,0.005873147813331249,60,0.011479806478970355,1.95462584015215,
repr_grid,rolling_9m_3m,5,20,40,0.011262501514519779,0.01134659152426031,0.008553580150813547,0.014170707238018517,0.013937723629412554,0.00799159792629687,0.007690339383888449,0.008046948489331946,60,0.007020349502169839,0.8724238152483396,
repr_grid,rolling_9m_3m,5,30,40,0.009406026853675375,0.009316228024305147,0.007279338783654292,0.012418879310347752,0.011380103689330928,0.007989192783191094,0.004283232443874015,0.008046948489331946,60,0.007020349502169839,0.8724238152483396,
repr_grid,rolling_9m_3m,5,40,40,0.00887012771558526,0.009084890306344826,0.006900919617589162,0.01053272246453247,0.009855458892661595,0.007368539096331191,0.00355999652432976,0.008046948489331946,60,0.007020349502169839,0.8724238152483396,
repr_grid,rolling_9m_3m,5,50,40,0.008285003134559519,0.008433759372857338,0.006929408434066838,0.009305371980501133,0.008814990413378453,0.006330302615612913,0.0025868848169177177,0.008046948489331946,60,0.007020349502169839,0.8724238152483396,
repr_grid,rolling_9m_3m,5,60,1,0.008046948489331946,0.008046948489331946,0.008046948489331946,0.008046948489331946,0.008046948489331946,0.007020349502169839,,0.008046948489331946,60,0.007020349502169839,0.8724238152483396,
