model,feature_set,scheme,horizon,sharpe,annualized_return,max_drawdown,deflation_benchmark_sr0,excess_over_benchmark,survives_deflation
OLS,repr_bkm,rolling_9m_3m,1,0.1920234743397327,0.045885028023352,-0.371122338271811,1.152899522776316,-0.9608760484365833,False
XGBoost,C,rolling_9m_3m,1,0.1857984508682038,0.0416093543091564,-0.616770282878017,1.152899522776316,-0.9671010719081121,False
XGBoost,repr_grid,rolling_9m_3m,1,0.1794034764224109,0.0419569929665708,-0.51162840725269,1.152899522776316,-0.9734960463539051,False
FFNN,A,expanding,5,0.176846814473092,0.0436919172793961,-0.4759243452030006,1.152899522776316,-0.9760527083032239,False
FFNN,D,expanding,5,0.1622026347399451,0.0350012101109689,-0.5172950137883037,1.152899522776316,-0.9906968880363708,False
FFNN,A,rolling_9m_3m,5,0.1617679154405668,0.038180571857975,-0.5102107822677056,1.152899522776316,-0.9911316073357491,False
OLS,candidate_6,expanding,1,0.151342720898093,0.043757981859877,-0.5731869879647654,1.152899522776316,-1.0015568018782228,False
XGBoost,repr_svi,expanding,1,0.1474685036946423,0.0342630872057052,-0.4804683510461225,1.152899522776316,-1.0054310190816735,False
FFNN,D,expanding,1,0.1455275696593954,0.0337319255145975,-0.4613000299137494,1.152899522776316,-1.0073719531169205,False
XGBoost,D,expanding,1,0.124401154927589,0.0322769670677736,-0.5932155888794788,1.152899522776316,-1.028498367848727,False
TFT,A,expanding,1,0.1187874167926881,0.0296304820778359,-0.4074991752773354,1.152899522776316,-1.0341121059836278,False
FFNN,A,expanding,3,0.1179177603618637,0.0262714587073142,-0.4554224400971647,1.152899522776316,-1.0349817624144522,False
OLS,A,rolling_9m_3m,1,0.1153999200496748,0.0280600336102556,-0.4575159189892374,1.152899522776316,-1.0374996027266412,False
OLS,repr_svi,rolling_9m_3m,1,0.113900000694558,0.0276941921091413,-0.457515918989237,1.152899522776316,-1.0389995220817578,False
