model,oos_r2,rmse,mae,ic,ic_ir,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,train_start,train_end,test_start,test_end,n_train,n_test,feature_set
window_31,-0.03304870097357937,0.03020171448080997,0.021435498321193285,0.01368338137102783,0.08138772441268063,0.5701058201058201,0.5841526894158473,0.915269596737653,0.7131509267431597,0.5841526894158473,3458,3.9950122924143336,-0.12252049481392033,24.511542361322224,0.6507936507936508,1.0296836415341,287,12451.154236132223,63,31,2023-10-13,2024-07-16,2024-07-17,2024-10-14,11340,3780,B
window_0,0.015041600232918673,0.027733622913905825,0.018116542416376,0.01858397099559807,0.09467869622864585,0.51439332795265,0.5504132231404959,0.6500732064421669,0.5961065115238309,0.5504132231404959,2420,7.840317761797642,-0.07843178628822552,59.20250041433199,0.6984126984126984,1.6868042542459436,687,15920.250041433199,63,0,2016-01-04,2016-09-30,2016-10-03,2016-12-30,11151,3717,C
window_1,-0.00874062484063276,0.019462524676868948,0.012931775500662285,0.06532471121229001,0.4243046598459857,0.5803066989507667,0.6019704433497537,0.8404401650618982,0.7014925373134329,0.6019704433497537,3045,5.098231078111689,-0.053339749061399,22.878741987053573,0.6666666666666666,1.1613869451625585,491,12287.874198705358,63,1,2016-04-05,2016-12-30,2017-01-03,2017-04-03,11151,3717,C
window_2,-0.018252699308316744,0.02304412927949499,0.014422078575965886,0.03215813389998374,0.2585236886131202,0.5119720204465967,0.5646437994722955,0.6091081593927894,0.5860337745321771,0.5646437994722955,2274,-0.738125404527637,-0.3232706227209498,-14.530604233286526,0.6666666666666666,0.40407079526747136,684,8546.939576671348,63,2,2016-07-05,2017-04-03,2017-04-04,2017-07-03,11151,3717,C
window_3,-0.00900074179478394,0.020234035543471467,0.014106487602639071,0.03508303229136669,0.289884985511583,0.5907990314769975,0.6001117006422787,0.9602323503127793,0.7386148822821791,0.6001117006422787,3581,6.191543665337381,-0.06271591449513686,21.419421390798597,0.7301587301587301,0.9376255568701551,128,12141.94213907986,63,3,2016-10-03,2017-07-03,2017-07-05,2017-10-02,11151,3717,C
window_4,-0.033748701953690174,0.022126984956688075,0.01467319119382553,0.05236659514687545,0.4761869860743778,0.6090933548560667,0.6109852774631936,0.9646848457755923,0.7481365921303519,0.6109852774631936,3532,11.55478588307639,-0.014953850977787297,30.14208726345555,0.8253968253968254,1.451499569962241,145,13014.208726345556,63,4,2017-01-03,2017-10-02,2017-10-03,2018-01-02,11151,3717,C
window_5,-0.16107504363032898,0.032191632682596796,0.023769047719508943,0.0023670347650795146,0.1723574000716178,0.5135862254506323,0.5136081918620318,0.9984284965950759,0.6782918149466192,0.5136081918620318,3711,-0.6387509226013934,-0.23018626064438094,-6.266796551664521,0.5555555555555556,0.7238390104539473,11,9373.320344833548,63,5,2017-04-04,2018-01-02,2018-01-03,2018-04-04,11151,3717,C
window_6,-0.5027441168971685,0.0293629611758536,0.022735454754083294,0.08070770378393842,0.9799830536425111,0.47350013451708367,0.6576271186440678,0.09463414634146342,0.16545842217484008,0.6576271186440678,295,1.8158802555609337,-0.022688672342429342,4.229262177703941,0.45454545454545453,2.638990627938393,146,10422.926217770395,63,6,2017-07-05,2018-04-04,2018-04-05,2018-07-03,11151,3717,C
window_7,-0.08024142367472753,0.025223920337588083,0.01684621633018541,0.039320180696209926,0.701307925481942,0.5671240247511434,0.5843091334894613,0.9135011441647597,0.712729869666131,0.5843091334894613,3416,6.525651278562782,-0.03622918684934008,22.750825704898837,0.6190476190476191,1.6455228920334048,295,12275.082570489883,63,7,2017-10-03,2018-07-03,2018-07-05,2018-10-02,11151,3717,C
window_8,-0.06495164100267092,0.04274277081139842,0.03173713466817855,0.044852680754654387,0.5917550765942847,0.47027172450901267,0.4762620192307692,0.8752070679182772,0.6168515275345398,0.4762620192307692,3328,-2.0858038872931886,-0.36171083921990466,-22.918339726370352,0.4603174603174603,0.8603157041932392,481,7708.166027362965,63,8,2018-01-03,2018-10-02,2018-10-03,2019-01-03,11151,3717,C
window_9,-0.6688700390145201,0.032773784042096694,0.024924320134011035,-0.009611944930094285,-0.0739904833992734,0.40274414850686036,0.6835164835164835,0.13028906577293675,0.21885995777621392,0.6835164835164835,455,3.9388359792677816,-0.022028370867082245,12.504212583536622,0.5294117647058824,2.48704648884527,538,11250.421258353663,63,9,2018-04-05,2019-01-03,2019-01-04,2019-04-04,11151,3717,C
